text,label
সে সানন্দে আছে কিন্তু তার উচ্ছৃঙ্খল কাজ দেখে আমার খুব ভয় হয় তাকে নিয়ে,1
ভয় দেখাতে পেরেছে,1
সে মানুষ রূপে অনেক বেশি খারাপ তাই সবাই ভয় পায়,1
তার কারো প্রতি কোনো টান নেই তাই তাকে ভয় হয়,1
সে ভোরবেলা থেকে কাজ করে ঢের ক্লান্ত তাই তাকে আবার কাজ করতে বলতে ভয় হচ্ছে,1
তোমার কি কিছু মনে পরছে না,1
জায়গাটি ভাল কিন্তু অনেক ভয় পাওয়া যায়,1
আজকের মত ভয় আর কখনও পাই নাই,1
এখানে কোনোটাই তো ভয়ের ছিল না তাও তুমি এতো ভয় পেলে,1
সে এলাকা ছেড়ে চলে গেলে একা থাকতে খুব ভয় লাগবে,1
তার ভয় করবে তাই কষ্ট হলেও করে আছি,1
তার যুক্তি শোনার সাহস নাই,1
সে সহর্ষে আছে কিন্তু তার অসাবধান কাজ দেখে আমার খুব ভয় হয় তাকে নিয়ে,1
সে কি রাখছে আমি জানতে চাই না,1
মেয়েটা পরীক্ষায় খারাপ করেছে তাই উতলা,1
যেকোনো উপায়ে তাকে ভয় দেখানো সম্ভব,1
তাকে দেয়া খবর অনেক ভয় এর ছিলো,1
সবাই মিলে থাকলে কিছু হবে না,1
তার কথা জেনে ভয় লাগছে,1
তার মত আলস্যপরায়ণ মানুষ কে সবাই ভয় পায়,1
সে কি আসবে না,1
অন্ধকার কক্ষে প্রবেশ করতে চাই না,1
সে অনেক অসুস্থ তাই ভয় পেয়েছি,1
তার ব্যবহারে আমি অনেক ভয় পেয়ে যাই,1
সে একা যেতে চায় তাই ভয় হয়,1
তাকে এতো ভয় করো কেনো,1
তার মত ক্ষতিকর মানুষ কে সবাই ভয় পায়,1
দুনিয়ার ভয় করলে কাজে আগাবা কি করে,1
আমি কি তাকে সুখ দিতাম,1
সে সকল খারাপ কাজ থেকে বিরত থাকে কারন পাপ কে ভয় করে,1
জায়গা টা ভয় এর ছিল,1
