text,label
তার ভালো কাজ সবাইকে অবাক করেছে,4 ->ok
কিছু পায়নি বলে সে কষ্ট পায়নি,4 -> ok
তিনি বলেছেন আমাকে দেখাবেন,4 -> ok
সে ভিত্তি ছাড়া কথা বলে না,4 -> ok
আমি নিজের ভূখণ্ড কে ভালোবাসি তাই সুখে আছি,4 -> ok
সে মানুষ টা মোটেই অধস্তন না বরং সবার উপকার করে তাই তাকে ভালো লাগে,4 - ok
সে সবার কথা শুনছে তারপর সিদ্ধান্ত নিচ্ছে,4-ok
তিনি আমাকে সাথে নিয়ে যান,4 -ok
আমার কাছে দেয়ার মত অনেক কিছু আছে,4 - ok
সে অসাধারণ মানুষ,4 -ok
এগুলা যা করছ ঠিক করছ,4 - ok
তাকে খুশি করেই যেতে চাই,4 - ok
সুখ দেই তাকে যেভাবে পারি,4 - ok
তাকে নিলে তার ভাল হবে,4  - ok
কোনো ঝামেলা নেই আমার জীবনে,4 - ok
তিনি বলেছেন সবাই ভালো আছে,4 - ok
সে এবং আমি একসাথে ভালো আছি,4 - ok
তুমি আমাকে রেখে যাওনি বরং সাথে নিয়ে গিয়েছ,4 - ok
পাইলে তো অনেক খুশি হতে,4 - ok
এমন জায়গা দেখে সবাই খুব খুশি,4 - ok
শুধু তুমি আমাকে বুঝলে,4 - ok
তাকে যে পাবে সে সুখি হবে,4 - ok
আমার ভিষণ জরুরৎ এর সময় আমি তাকে কাছে পেয়েছি,4 - ok
আমি ভাল আছি,4 - ok
সে মানুষ টা মোটেই নিচু মানের না বরং সবার উপকার করে তাই তাকে ভালো লাগে,4 - ok
মানুষ সব করতে পারে,4 - ok
স্বপ্ন গুলো পূরণ হয়েছে তাই এত খুশি,4 - ok
তিনি সবাই কে না রাগিয়ে শুধু খুশি করে তারপর চলে গেলেন কাজে,4 - ok
আমি তাকে সব দিলাম,4 - ok


M_SAKIB_HAP_1
