text,label
প্রমান পাইতে কষ্ট হলেও আমি তার জন্য করবো,0 ->ok
তোমার জন্য আমরা সবাই এখনও টিকে আছি,0 -> ok
সে আমার প্রেমে পড়েছে,0 ->ok
তার কথা চিন্তা করে ভাল লাগে,0 -> ok
তুমি আমাকে অনেক ভাল বুঝো,0 -> ok
তোমাকে পছন্দ করি তাই বিশ্বাস করি তোমার কথায়,0 ->ok
সে শুধু আমার দিকে তাকিয়ে থাকে,0-ok
প্রবেশ করে ভালই করেছো,0 - ok
কেউ মারবে না সবাই আদর করবে,0 - ok
তুমি সাথে থাকলে তার কাজটি ভাল হতো,0 - ok
সে তোমাকে হারিয়ে ফেলার ভয়ে আছে,0 - ok
মানুষটা অমায়িক তাই সবাই তাকে ভালোবাসে,0 -ok
রাতের বেলার তুষার শীতল আবহাওয়া আমি অনেক ভালোবাসি,0 -ok
নতুন জায়গায় গিয়ে আমি অনেক খুশি,0 -ok
সে আমাকে অনেক বেশি ভাল রেখেছে,0 -ok
সে কখনো কারো অনিষ্ট করে না তাই তাকে এত ভালোবাসি,0 -ok
সে কখনো আমাকে কষ্ট দিবে না,0 - ok
সে খুব ভাল ব্যবসা করে,0 - ok
তার প্রতি ব্যাকুলতা অনেক বেশি কারন তাকে অনেক বেশি ভালোবাসি,0 - ok
সাগর টি দেখে ভালোবাসা বহুগুনে বেড়ে গেছে,0 - ok
তার কাজটা দেখে আমার খুব পছন্দ হয়েছে তাকে,0 -ok
সে সবার জীবনে খুশি নিয়ে এসেছে,0 - ok
সে কখনও আমাকে বকা দেয় না,0 - ok
তার সাথে সময় গুলো খুব ভালো গেছে,0 -ok
আগে ভালবাসো তাহলে বুঝতে পারবে,0 - ok
সে আমার সুখের জন্য অনেক ভাবে,0 - ok
তাকে কেউ বাজে বলে না সবাই তাকে ভালোবাসে,0 - ok
সে সর্বদা লেখাপড়া করে তাই সবাই তাকে ভালোবাসে,0 - ok
সে এমন একজন ব্যক্তি যাকে সবাই খুব ভালোবাসে,0 - ok
দায়িত্ব নিয়ে সব শেষ করে,0 -

সবাই তার সেবা করতে ব্যস্ত,0
আমি তাকে খুব আদর করে বললাম আমার সাথে যাওয়ার জন্য,0
আমার জন্য কি করে ফেলবে তুমি,0
তার প্রতি আগ্রহ অনেক বেশি কারন তাকে অনেক বেশি ভালোবাসি,0
তার রূপ যেমন আছে তেমন ভাল চরিত্র,0
আমার মনে তার জন্য কোনো রাগ নাই ভালবাসা আছে,0


M_SAKIB_NEU_1
M_SAKIB_NEU_2
