text,label
তিনি আমার কাছের মানুষ না বরং তাকে দেখলে খুব রাগ লাগে,3-ok
তার কারো প্রতি কোনো দরদ নেই,3 - ok
এরপর যা হল সেটা শুনে কি করবে যাও এখন,3 - ok
সে সব সময় বাজে কথা বলে,3 - ok
সে ভালো মন্দ বোঝে না,3 - ok
এখানে নিরাশ হওয়ার কি আছে,3 - ok
আমি তাকে দেখলে অনেক রাগ হবো তার সাথে,3 - ok
আমার রাগ কিন্তু অনেক বেশি,3
তোমার কারণে সবকিছু নষ্ট হয়ে গিয়েছে,3
সে কাউকে কোনো বিশেষ সহায়তা করে নি তাই সবাই খুব রাগ করেছে,3
এত ঝড় বৃষ্টি দেখে কেনো জানি আজ খুব রাগ লাগছে,3
আগে চরিত্র ঠিক করো,3
কথাটি শুনে ভীষন রকমের রাগ লেগেছে,3
সে অসংখ্য বার এই খারাপ কাজটি করেছে তাই এত রেগে আছি,3
এইটা কি কোনো সুখবর হল,3
কিছুটা না অনেক রাগ হচ্ছে তার উপর,3
সে তার কাজ গুলো মনোযোগ দিয়ে করে না,3
সে একান্ত সরল মানুষ না তাই রাগ লাগে,3
এত কষ্ট দিতে থাকলে কি করে প্রশান্তি থাকে,3
আমার কথা না শুনে যেয়ো না ভাল হবে না,3
আমি কেনো তার কথায় সেখানে গেলাম না তাই সে রাগ করছে,3
যে কাজই করি তোমার কোনোটাই পছন্দ হয় না,3
এত রাগ করেছি তার সাথে তাই সবকিছু মন থেকে কেটে গেছে,3
সে বাসা থেকে না বলে চলে আসছে বিধায় বাবা অনেক রাগ করেছে,3
সে মানুষ হিসেবে অনেক মেজাজী,3
সে এখানে কেন আসছে,3
আমিও আসলে তার এমন বাজে ফলাফল দেখে অনেক বেশি রাগ করেছি,3
তার প্রতিটা ব্যপার আমার রাগ লাগে,3


M_SAKIB_ANG_1
